created_at;;full_text;lang;username
Mon May 13 09:45:09 +0000 2024;;@SemuelRapa25573 Bapak harus cermati mana yang lebih prioritas sekarang ini meningkatkan kesejahteraan rakyat atau membangun IKN? Pikirkan disitu;in;PengawasUmum
Mon May 13 09:44:38 +0000 2024;;@DokterTifa Untuk satu keluarga Mukidi aja. Biar enak tuh luas kan buat mereka guling2 an jgn lupa pemuja dan para fans nya suruh pindah aja ke IKN;in;RA_123miladi
Mon May 13 09:44:03 +0000 2024;;@ferrykoto Indonesia itu banyak beruntung blessing in disguise. Proyek ngawur dengan kebocoran 30% bisa dikemudian hari berguna. Termasuk IKN meskipun dikerjakan dg ngawur tapi itu memang satu-satunya jalan untuk mengatasi kepadatan Jawa yg sdh di luar ak;in;HH__ONE
Mon May 13 09:43:50 +0000 2024;;Dalam wawancara tersebut Prabowo juga menegaskan komitmennya untuk melindungi serta menjamin kesejahteraan masyarakat adat yang berada di IKN.;in;andystwn4
Mon May 13 09:43:46 +0000 2024;;Presiden RI terpilih periode 2024-2029 Prabowo Subianto kembali menegaskan dukungan serta komitmennya untuk melanjutkan kebijakan pembangunan Ibu Kota Nusantara (IKN) yang digagas oleh Presiden Joko Widodo (Jokowi).;in;andystwn4
Mon May 13 09:43:45 +0000 2024;;Wawancara dengan Al Jazeera Prabowo Tegaskan Dukungan untuk Kelanjutan Pembangunan IKN https://t.co/Nc0vrKT8qz;in;andystwn4
Mon May 13 09:42:42 +0000 2024;;Pembangunan Ibu Kota Negara (IKN) Nusantara harus membuat warga Kaltim tambah sejahtera. @jokowi @prabowo @infokaltim https://t.co/15Xg8fI2ch;in;jari_droid
Mon May 13 09:41:24 +0000 2024;;Tol IKN di Kaltim Siap Fungsional Sebelum HUT RI Agustus 2024 Progres Pembangunan Capai 81 Persen https://t.co/JizlYTLanX lewat @tribunnews #ikn #nusantara #kaltim #kalimantantimur #penajam;in;tribunkaltim
Mon May 13 09:41:23 +0000 2024;;@DokterTifa Mungkin mau pindah Bu.. tapi ya itu naikin salary dll nya. Nanti kan ada bandara khusus IKN - JKT dejat lah.. ;in;barokah_101
Mon May 13 09:39:55 +0000 2024;;Otorita Ibu Kota Nusantara IKN dan Kemenkes bersatu dalam pelatihan dan pembinaan keamanan pangan siap saji bagi pelaku UMKM Tong tji geby bu bos panjang anggi obnya hujan 10 di bali subang aurora Senin siang udah #vidioviral https://t.co/1j0QGKluIP;in;PertiwiSeptania
Mon May 13 09:39:43 +0000 2024;;@geloraco Yang suka bawa2 mandau paling banter jadi satpam bandara Mungkin kata kata gua ini menyakitkan tapi beneran kok lihat saja lima tahun kedepan penduduk asli sekitar IKN ada dimana. Coba tebak dimana sekarang betawi pemilik tanah tanah sekitar SCD;in;GybrantR53927
Mon May 13 09:38:15 +0000 2024;;@DokterTifa Kedok aja ikn aslinya cari cuan dari pembangunannya.. kadung mlebu weteng wareg dan terus menerus sambung menyambung menjadi satu. Weesss... uangel kandanane dok !;in;farahzulfirman
Mon May 13 09:37:51 +0000 2024;;@mbakcrushmu_ 19. A karena (A. Lunga B. Tuku C. Dolan D. Tuku) 20. B (belakangnya goreng );in;ikn0wu_
